217.148.140.139 - - [20/Oct/2024:00:03:08 +0000] "GET /58uz HTTP/1.1" 302 - "-" "Mozilla/5.0 (X11; Linux; rv:74.0) Gecko/20100101 Firefox/74.0"
217.148.140.139 - - [20/Oct/2024:00:03:09 +0000] "GET / HTTP/1.1" 200 1401 "-" "Mozilla/5.0 (X11; Linux; rv:74.0) Gecko/20100101 Firefox/74.0"
135.125.246.189 - - [20/Oct/2024:00:17:59 +0000] "GET /.env HTTP/1.1" 302 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
135.125.246.189 - - [20/Oct/2024:00:17:59 +0000] "POST / HTTP/1.1" 200 1401 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
217.128.39.217 - - [20/Oct/2024:00:48:21 +0000] "GET / HTTP/1.0" 200 1401 "-" "Mozilla/5.0 (Linux; U; Android 4.0.3; ko-kr; LG-L160L Build/IML74K) AppleWebkit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
91.90.42.154 - - [20/Oct/2024:00:59:13 +0000] "\x16\x03" 400 226 "-" "-"
91.90.42.154 - - [20/Oct/2024:00:59:13 +0000] "GET /m0Qn HTTP/1.1" 302 - "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0; MALC)"
91.90.42.154 - - [20/Oct/2024:00:59:13 +0000] "GET / HTTP/1.1" 200 1401 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0; MALC)"
91.90.42.154 - - [20/Oct/2024:00:59:13 +0000] "GET /2bQx HTTP/1.1" 302 - "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0; MALC)"
178.215.238.85 - - [20/Oct/2024:01:13:41 +0000] "GET /login.rsp HTTP/1.1" 302 - "-" "Hello World"
64.62.156.56 - - [20/Oct/2024:01:13:47 +0000] "\x16\x03\x01" 400 226 "-" "-"
93.174.93.12 - - [20/Oct/2024:01:19:31 +0000] "GET / HTTP/1.0" 200 1401 "-" "Java/1.6.0_13"
135.125.244.48 - - [20/Oct/2024:01:48:22 +0000] "GET /.env HTTP/1.1" 302 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
135.125.244.48 - - [20/Oct/2024:01:48:22 +0000] "POST / HTTP/1.1" 200 1401 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
27.111.75.204 - - [20/Oct/2024:01:56:24 +0000] "POST /HNAP1/ HTTP/1.0" 400 226 "-" "-"
185.224.128.47 - - [20/Oct/2024:02:37:24 +0000] "GET / HTTP/1.1" 200 1401 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
78.140.21.51 - - [20/Oct/2024:02:38:06 +0000] "GET / HTTP/1.1" 200 1401 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
178.215.236.240 - - [20/Oct/2024:03:03:59 +0000] "GET /_profiler/phpinfo HTTP/1.1" 302 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
45.130.87.8 - - [20/Oct/2024:03:15:51 +0000] "\x16\x03\x01\x02" 400 226 "-" "-"
129.227.96.82 - - [20/Oct/2024:03:15:53 +0000] "GET /7oKk HTTP/1.1" 302 - "-" "Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36"
172.245.20.197 - - [20/Oct/2024:03:18:52 +0000] "GET /.env HTTP/1.1" 302 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
172.245.20.197 - - [20/Oct/2024:03:18:52 +0000] "POST / HTTP/1.1" 200 1401 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
78.153.140.223 - - [20/Oct/2024:03:23:29 +0000] "GET /.env HTTP/1.1" 302 - "-" "Mozilla/5.0 (Linux; U; Android 4.3; en-us; SGH-T999N Build/JSS15J) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
78.153.140.223 - - [20/Oct/2024:03:23:29 +0000] "\x16\x03\x01" 400 226 "-" "-"
78.153.140.223 - - [20/Oct/2024:03:23:29 +0000] "GET /.env.example HTTP/1.1" 302 - "-" "Mozilla/5.0 (Linux; U; Android 4.3.1; en-us; GT-I9100 Build/JLS36I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 CyanogenMod/10.2/i9100"
78.153.140.223 - - [20/Oct/2024:03:23:30 +0000] "GET /.env.production HTTP/1.1" 302 - "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) Opera 8.60 [en]"
78.153.140.223 - - [20/Oct/2024:03:23:30 +0000] "GET /backend/.env HTTP/1.1" 302 - "-" "Mozilla/5.0 (Linux; Android 5.1.1; 5017B Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36"
78.153.140.223 - - [20/Oct/2024:03:23:30 +0000] "GET /admin/.env HTTP/1.1" 302 - "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/4.0.219.3 Safari/532.1"
78.153.140.223 - - [20/Oct/2024:03:23:31 +0000] "GET /crm/.env HTTP/1.1" 302 - "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:7.0) Gecko/20100101 Firefox/7.0"
78.153.140.223 - - [20/Oct/2024:03:23:31 +0000] "GET /core/.env HTTP/1.1" 302 - "-" "Opera/9.80 (Linux armv7l; U;  CE-HTML/1.0 NETTV/4.1.1; en) Presto/2.10.287 Version/12.00"
78.153.140.223 - - [20/Oct/2024:03:23:31 +0000] "GET /api/v2/.env HTTP/1.1" 302 - "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.14 (KHTML, like Gecko) Chrome/24.0.1292.0 Safari/537.14"
78.153.140.223 - - [20/Oct/2024:03:23:32 +0000] "GET /web/.env HTTP/1.1" 302 - "-" "Mozilla/5.0 (Linux; Android 4.4.2; SAMSUNG-SM-T537A Build/KOT49H) AppleWebKit/537.36 (KHTML like Gecko) Chrome/35.0.1916.141 Safari/537.36"
78.153.140.223 - - [20/Oct/2024:03:23:32 +0000] "GET /api/.env HTTP/1.1" 302 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.32 (KHTML, like Gecko) Version/8.1 Safari/601.1.32"
78.153.140.223 - - [20/Oct/2024:03:23:33 +0000] "GET /.env-example HTTP/1.1" 302 - "-" "Mozilla/4.0 (compatible; MSIE 5.0; Windows 98) Opera 6.01  [fr]"
78.153.140.223 - - [20/Oct/2024:03:23:33 +0000] "GET /.env-sample HTTP/1.1" 302 - "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; zh-TW; rv:1.9.2.4) Gecko/20100611 Firefox/3.6.4 GTB7.0 ( .NET CLR 3.5.30729)"
78.153.140.223 - - [20/Oct/2024:03:23:33 +0000] "GET /.env.$APP_ENV HTTP/1.1" 302 - "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:49.0) Gecko/20100101 Firefox/49.0"
78.153.140.223 - - [20/Oct/2024:03:23:34 +0000] "GET /.env.$APP_ENV.local HTTP/1.1" 302 - "-" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_2 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8H7 Safari/6533.18.5 bdbrowser/6.4.0.4"
78.153.140.223 - - [20/Oct/2024:03:23:34 +0000] "GET /.env.140 HTTP/1.1" 302 - "-" "Mozilla/5.0 (Linux; U; Android 4.1.2; tr-tr; GT-I8190 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
78.153.140.223 - - [20/Oct/2024:03:23:34 +0000] "GET /.env.185 HTTP/1.1" 302 - "-" "Mozilla/5.0 (Linux; U; Android 2.3.6; pt-br; GT-S5367 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
78.153.140.223 - - [20/Oct/2024:03:23:35 +0000] "GET /.env.51.15 HTTP/1.1" 302 - "-" "Mozilla/4.0 (compatible; MSIE 5.0b1; Mac_PowerPC)"
